candidate,leave_year,year,trigger_date,lookback_excess,regime_lookback_days,regime_risk_threshold
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190718,0.0044600423,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190801,0.0096049288,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190805,0.0057352476,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2019,20190808,0.0050941249,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2020,20200403,-0.0708419795,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2020,20200703,0.0087608937,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2021,20210510,0.0018806074,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2021,20210602,0.0050027465,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2021,20210617,0.0044151891,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2022,20220426,0.0036155889,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2022,20220506,-0.0024520288,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2022,20221202,0.0072513909,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2022,20221215,0.0097222643,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2022,20221226,0.0092921101,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2023,20230404,-0.0428960506,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2023,20230518,0.0043751467,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2023,20230608,0.0081074622,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2023,20230620,0.0059396536,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2023,20231106,0.0066165904,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2024,20240412,0.0089057809,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2024,20240425,0.0079441813,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2024,20240920,0.0094352886,60,0.01
selfpnl_lb60_thr0p01_rec1_h0p05,2019,2024,20241015,0.0087685844,60,0.01
