name,description,period,start,end,overrides_json,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,stop_signal_threshold,cost_model_enabled,slippage_pct,market_impact_coeff,market_impact_cap_pct,holding_cost_pct,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
vol_50,止损复查时波动价值按 50% 估,test,20250101,20260508,"{""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.808828,0.456563,-0.097762,0.6126,222,323,0.432123
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,test,20250101,20260508,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.76497,0.412705,-0.097762,0.6055,218,323,0.388265
spread_plus_100,止损复查时信用折价增加 100bp,test,20250101,20260508,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.741101,0.388836,-0.097762,0.599,192,323,0.364396
normal_revalue,止损复查仍用原估值,test,20250101,20260508,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.732025,0.37976,-0.097762,0.6073,191,323,0.35532
spread_plus_200,止损复查时信用折价增加 200bp,test,20250101,20260508,"{""credit_spread_add_bp"": 200.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.720887,0.368622,-0.097762,0.6062,193,323,0.344182
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,test,20250101,20260508,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.709189,0.356924,-0.097762,0.601,208,323,0.332484
vol_70,止损复查时波动价值按 70% 估,test,20250101,20260508,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.705496,0.353231,-0.097762,0.5981,209,323,0.328791
normal_revalue,止损复查仍用原估值,train,20190101,20241231,{},0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.403678,0.131363,-0.324048,0.4533,986,1456,0.050351
vol_70,止损复查时波动价值按 70% 估,train,20190101,20241231,"{""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.303658,0.031343,-0.316435,0.4669,996,1456,-0.047766
spread_plus_200,止损复查时信用折价增加 200bp,train,20190101,20241231,"{""credit_spread_add_bp"": 200.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.285614,0.013299,-0.324576,0.4501,1022,1456,-0.067845
vol_70_spread_100,止损复查时波动价值 70% 且信用折价增加 100bp,train,20190101,20241231,"{""credit_spread_add_bp"": 100.0, ""vol_multiplier_factor"": 0.7}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.279332,0.007018,-0.323201,0.4503,1017,1456,-0.073782
spread_plus_100,止损复查时信用折价增加 100bp,train,20190101,20241231,"{""credit_spread_add_bp"": 100.0}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.252268,-0.020046,-0.331174,0.4566,1003,1456,-0.10284
vol_50_spread_200,止损复查时波动价值 50% 且信用折价增加 200bp,train,20190101,20241231,"{""credit_spread_add_bp"": 200.0, ""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.198651,-0.073663,-0.337881,0.4472,1022,1456,-0.158133
vol_50,止损复查时波动价值按 50% 估,train,20190101,20241231,"{""vol_multiplier_factor"": 0.5}",0.0,0.0,0.03,180.0,0.3,999.0,1.0,0.0015,0.001,0.02,0.0,0.188422,-0.083892,-0.334708,0.4444,990,1456,-0.167569
