name,source,count,avg_pnl_pct,sum_pnl_amount,wins,avg_option_share,avg_close_to_bond_floor
baseline_no_entry_gate,mixed,1,0.026624,397.19,1,0.408368,0.797683
baseline_no_entry_gate,option,74,-0.022383,-92630.91,21,1.0,1.318774
ratio_1p15,mixed,3,0.012231,637.25,2,0.447591,0.897653
ratio_1p15,option,85,0.012794,26509.1,46,0.995319,1.095216
ratio_1p25,mixed,1,0.026623,769.67,1,0.408368,0.797683
ratio_1p25,option,64,0.003253,-11091.32,33,1.0,1.155159
ratio_1p35,mixed,1,0.026623,796.42,1,0.408368,0.797683
ratio_1p35,option,61,0.007184,20740.78,35,1.0,1.182894
ratio_1p5,mixed,1,0.026623,736.74,1,0.408368,0.797683
ratio_1p5,option,68,-0.008745,-60462.93,30,1.0,1.247546
bad_signal_max_0,mixed,4,0.006693,811.12,3,0.47397,0.888642
bad_signal_max_0,option,82,-0.016015,-69395.76,30,1.0,1.327665
bad_signal_max_1,mixed,2,0.006125,651.17,1,0.456533,0.830276
bad_signal_max_1,option,84,-0.023218,-106726.0,27,1.0,1.319876
bad_signal_max_2,mixed,1,-0.010019,-0.8,0,0.442602,0.827599
bad_signal_max_2,option,91,-0.020795,-110946.57,30,1.0,1.307583
ratio_1p2_signal_0,bond,4,0.028669,2485.23,4,0.22392,0.953597
ratio_1p2_signal_0,mixed,2,-0.015951,440.6,1,0.482159,0.87622
ratio_1p2_signal_0,option,63,-0.007975,-17741.35,27,0.996678,1.129643
ratio_1p2_signal_1,mixed,2,0.021256,1238.94,2,0.433994,0.843627
ratio_1p2_signal_1,option,61,0.002127,-7362.31,33,0.997719,1.11991
ratio_1p2_signal_2,mixed,1,0.015308,1.2,1,0.403561,0.806828
ratio_1p2_signal_2,option,61,0.004637,-4338.34,35,1.0,1.128491
ratio_1p3_signal_0,mixed,2,0.015598,463.0,2,0.43159,0.848199
ratio_1p3_signal_0,option,66,-0.001094,-14365.15,35,0.998113,1.176564
ratio_1p3_signal_1,mixed,1,0.026623,759.38,1,0.408368,0.797683
ratio_1p3_signal_1,option,65,-1.6e-05,-31629.49,34,0.99947,1.171586
ratio_1p3_signal_2,mixed,1,-0.04779,-3.98,0,0.504698,0.862869
ratio_1p3_signal_2,option,68,0.001203,-10341.05,36,1.0,1.170459
ratio_1p4_signal_0,mixed,2,-0.034724,-5.81,0,0.544316,0.89353
ratio_1p4_signal_0,option,71,0.00204,-22493.22,41,0.997738,1.208482
ratio_1p4_signal_1,mixed,1,-0.016216,-1.31,0,0.416903,0.833205
ratio_1p4_signal_1,option,72,-0.000974,-51805.52,34,1.0,1.214302
ratio_1p4_signal_2,mixed,1,0.026623,767.61,1,0.408368,0.797683
ratio_1p4_signal_2,option,67,0.006741,-12115.33,39,0.999486,1.211054
option_share_max_0p9,bond,6,0.028785,13973.18,5,0.203944,0.971808
option_share_max_0p9,mixed,4,0.005571,2412.34,3,0.52345,0.987075
option_share_max_0p9,option,11,0.044429,34912.61,9,0.823002,0.983678
option_share_max_0p95,bond,6,0.028785,14066.3,5,0.203944,0.971808
option_share_max_0p95,mixed,5,0.006243,2727.86,4,0.513848,0.968782
option_share_max_0p95,option,12,0.076314,48345.73,10,0.849898,0.987058
