name,source,count,avg_pnl_pct,sum_pnl_amount,wins,avg_bond_share,avg_option_share,avg_position_cash_scale
baseline_no_feedback,mixed,1,0.026624,397.19,1,0.591632,0.408368,1.0
baseline_no_feedback,option,74,-0.022383,-92630.91,21,0.0,1.0,1.0
feedback_20d_min2_scale_0p75,mixed,2,-0.036095,-6.14,0,0.478876,0.521124,1.0
feedback_20d_min2_scale_0p75,option,104,-0.019447,-107180.11,36,0.0,1.0,0.850962
feedback_20d_min2_scale_0p5,mixed,2,-0.020415,-3287.27,1,0.499847,0.500153,1.0
feedback_20d_min2_scale_0p5,option,118,-0.005741,-84377.32,49,0.0,1.0,0.728814
feedback_20d_min2_scale_0p25,mixed,3,-0.02254,-290.57,1,0.465398,0.534602,1.0
feedback_20d_min2_scale_0p25,option,115,-0.007906,-69978.56,45,0.0,1.0,0.634783
feedback_20d_min3_scale_0p75,mixed,1,-0.06073,-5.13,0,0.465152,0.534848,1.0
feedback_20d_min3_scale_0p75,option,98,-0.019063,-109014.99,33,0.0,1.0,0.880102
feedback_20d_min3_scale_0p5,mixed,3,-0.009881,144.31,2,0.496624,0.503376,1.0
feedback_20d_min3_scale_0p5,option,108,-0.021559,-121340.23,34,0.0,1.0,0.740741
feedback_20d_min3_scale_0p25,mixed,3,-0.01943,-1138.57,1,0.467182,0.532818,1.0
feedback_20d_min3_scale_0p25,option,116,-0.006011,-85608.31,46,0.0,1.0,0.631466
feedback_40d_min2_scale_0p75,mixed,2,-0.007937,-729.09,0,0.53196,0.46804,1.0
feedback_40d_min2_scale_0p75,option,123,-0.007612,-97481.35,47,0.002918,0.997082,0.835366
feedback_40d_min2_scale_0p5,mixed,3,-0.004608,-1102.74,1,0.526966,0.473034,1.0
feedback_40d_min2_scale_0p5,option,115,-0.005144,-81763.03,44,0.0,1.0,0.669565
feedback_40d_min2_scale_0p25,mixed,2,-0.034177,-2838.74,0,0.466635,0.533365,1.0
feedback_40d_min2_scale_0p25,option,110,-0.00955,-105157.23,37,0.0,1.0,0.522727
feedback_40d_min3_scale_0p75,mixed,2,-0.007937,-729.09,0,0.53196,0.46804,1.0
feedback_40d_min3_scale_0p75,option,123,-0.007612,-97481.35,47,0.002918,0.997082,0.835366
feedback_40d_min3_scale_0p5,mixed,3,-0.004608,-1102.74,1,0.526966,0.473034,1.0
feedback_40d_min3_scale_0p5,option,115,-0.005144,-81763.03,44,0.0,1.0,0.669565
feedback_40d_min3_scale_0p25,mixed,2,-0.018952,-2033.58,0,0.499582,0.500418,1.0
feedback_40d_min3_scale_0p25,option,108,-0.006116,-82644.42,42,0.0,1.0,0.548611
feedback_60d_min2_scale_0p75,mixed,1,-0.010021,-733.43,0,0.557398,0.442602,1.0
feedback_60d_min2_scale_0p75,option,112,-0.007021,-94688.08,44,0.0,1.0,0.823661
feedback_60d_min2_scale_0p5,mixed,2,-0.015951,-1253.98,1,0.517841,0.482159,1.0
feedback_60d_min2_scale_0p5,option,114,-0.005143,-77744.33,41,0.0,1.0,0.649123
feedback_60d_min2_scale_0p25,mixed,2,-0.034739,-5205.5,0,0.455684,0.544316,1.0
feedback_60d_min2_scale_0p25,option,106,-0.00648,-77149.22,40,0.0,1.0,0.504717
feedback_60d_min3_scale_0p75,mixed,1,-0.04779,-3.98,0,0.495302,0.504698,1.0
feedback_60d_min3_scale_0p75,option,114,-0.008505,-96781.97,43,0.003996,0.996004,0.835526
feedback_60d_min3_scale_0p5,mixed,2,-0.020411,-3539.26,1,0.499847,0.500153,1.0
feedback_60d_min3_scale_0p5,option,112,-0.004548,-70975.39,42,0.0,1.0,0.700893
feedback_60d_min3_scale_0p25,mixed,2,-0.034739,-5180.43,0,0.455684,0.544316,1.0
feedback_60d_min3_scale_0p25,option,110,-0.00724,-101429.41,43,0.0,1.0,0.543182
