name,adjusted_rows,avg_position_scale,min_position_scale,max_position_scale
baseline_no_position_scale,0,1.0,1.0,1.0
ratio_1p5_scale_0p75,24995,0.75,0.75,0.75
ratio_1p5_scale_0p5,24995,0.5,0.5,0.5
ratio_1p5_scale_0p25,24995,0.25,0.25,0.25
moneyness_1p6_scale_0p75,18237,0.75,0.75,0.75
moneyness_1p6_scale_0p5,18237,0.5,0.5,0.5
moneyness_1p6_scale_0p25,18237,0.25,0.25,0.25
ratio_1p5_or_mny_1p6_scale_0p75,34276,0.75,0.75,0.75
ratio_1p5_or_mny_1p6_scale_0p5,34276,0.5,0.5,0.5
ratio_1p5_or_mny_1p6_scale_0p25,34276,0.25,0.25,0.25
progressive_stocklike_position_scale,51690,0.52248,0.25,0.75
