name,adjusted_rows,avg_option_weight,min_option_weight,max_option_weight
baseline_no_haircut,0,1.0,1.0,1.0
ratio_1p4_weight_0p75,44662,0.75,0.75,0.75
ratio_1p4_weight_0p5,44662,0.5,0.5,0.5
ratio_1p5_weight_0p75,24995,0.75,0.75,0.75
ratio_1p5_weight_0p5,24995,0.5,0.5,0.5
moneyness_1p6_weight_0p75,18237,0.75,0.75,0.75
moneyness_1p6_weight_0p5,18237,0.5,0.5,0.5
ratio_1p5_or_mny_1p6_weight_0p75,34276,0.75,0.75,0.75
ratio_1p5_or_mny_1p6_weight_0p5,34276,0.5,0.5,0.5
ratio_1p5_or_mny_1p6_weight_0p25,34276,0.25,0.25,0.25
progressive_stocklike_haircut,51690,0.25,0.25,0.75
