name,regime,source,count,avg_pnl_pct,sum_pnl_amount,wins,avg_option_share,avg_close_to_bond_floor
baseline_no_regime_entry_gate,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
baseline_no_regime_entry_gate,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
baseline_no_regime_entry_gate,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
baseline_no_regime_entry_gate,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_signal_0,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_signal_0,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_signal_0,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_signal_0,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_signal_1,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_signal_1,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_signal_1,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_signal_1,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_ratio_1p15,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_ratio_1p15,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_ratio_1p15,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_ratio_1p15,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_ratio_1p25,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_ratio_1p25,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_ratio_1p25,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_ratio_1p25,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_ratio_1p25_signal_1,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_ratio_1p25_signal_1,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_ratio_1p25_signal_1,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_ratio_1p25_signal_1,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
flat_weak_signal_1,flat_weak,option,3,-0.002611,-214.9,1,1.0,1.162634
flat_weak_signal_1,neutral,mixed,1,0.026624,401.31,1,0.408368,0.797683
flat_weak_signal_1,neutral,option,32,-0.001713,2563.56,15,1.0,1.280982
flat_weak_signal_1,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
flat_weak_ratio_1p25,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
flat_weak_ratio_1p25,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
flat_weak_ratio_1p25,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
flat_weak_ratio_1p25,strong,option,39,-0.041438,-95538.34,5,1.0,1.3624
weak_strict_flat_mild,flat_weak,option,3,-0.002611,-214.9,1,1.0,1.162634
weak_strict_flat_mild,neutral,mixed,1,0.026624,401.31,1,0.408368,0.797683
weak_strict_flat_mild,neutral,option,32,-0.001713,2563.56,15,1.0,1.280982
weak_strict_flat_mild,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_mild_flat_signal,flat_weak,option,3,-0.002611,-214.9,1,1.0,1.162634
weak_mild_flat_signal,neutral,mixed,1,0.026624,401.31,1,0.408368,0.797683
weak_mild_flat_signal,neutral,option,32,-0.001713,2563.56,15,1.0,1.280982
weak_mild_flat_signal,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_and_flat_signal_1,flat_weak,option,3,-0.002611,-214.9,1,1.0,1.162634
weak_and_flat_signal_1,neutral,mixed,1,0.026624,401.31,1,0.408368,0.797683
weak_and_flat_signal_1,neutral,option,32,-0.001713,2563.56,15,1.0,1.280982
weak_and_flat_signal_1,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_signal_0_flat_signal_2,flat_weak,option,3,-0.002611,-214.9,1,1.0,1.162634
weak_signal_0_flat_signal_2,neutral,mixed,1,0.026624,401.31,1,0.408368,0.797683
weak_signal_0_flat_signal_2,neutral,option,32,-0.001713,2563.56,15,1.0,1.280982
weak_signal_0_flat_signal_2,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_ratio_1p15_flat_ratio_1p35,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_ratio_1p15_flat_ratio_1p35,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_ratio_1p15_flat_ratio_1p35,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_ratio_1p15_flat_ratio_1p35,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_share_0p90,flat_weak,option,3,0.003713,298.85,1,1.0,1.154755
weak_share_0p90,neutral,mixed,1,0.026624,397.19,1,0.408368,0.797683
weak_share_0p90,neutral,option,32,-0.001713,2570.45,15,1.0,1.280982
weak_share_0p90,strong,option,39,-0.04135,-95500.21,5,1.0,1.3624
weak_share_0p95_flat_share_0p95,neutral,option,33,-0.00584,-1643.49,16,1.0,1.27872
weak_share_0p95_flat_share_0p95,strong,mixed,1,-0.010019,-0.8,0,0.442602,0.827599
weak_share_0p95_flat_share_0p95,strong,option,39,-0.040578,-94406.81,8,1.0,1.363375
