name,adjusted_rows,avg_scale,min_scale,max_scale,avg_atr,median_atr,volatility_lookback,scaling_beta
baseline_no_scaling,0,1.0,1.0,1.0,0.0,0.0,,
vol_scale_lb10_beta0p5,483348,0.860042,0.019202,1.0,3.320337,2.196018,10,0.5
vol_scale_lb10_beta1p0,483348,0.803372,0.009694,1.0,3.317725,2.196018,10,1.0
vol_scale_lb10_beta2p0,483348,-5.148068,-1411406.651337,1.0,3.31919,2.196018,10,2.0
vol_scale_lb20_beta0p5,477407,0.863555,0.022202,1.0,3.241855,2.196474,20,0.5
vol_scale_lb20_beta1p0,477407,0.807221,0.011226,1.0,3.240938,2.196474,20,1.0
vol_scale_lb20_beta2p0,477407,-4.159293,-691711.010567,1.0,3.239637,2.196474,20,2.0
vol_scale_lb30_beta0p5,471467,0.865658,0.025018,1.0,3.173423,2.18403,30,0.5
vol_scale_lb30_beta1p0,471467,0.809619,0.012667,1.0,3.170259,2.18403,30,1.0
vol_scale_lb30_beta2p0,471467,-10.740677,-3945548.181505,1.0,3.169139,2.18403,30,2.0
